moment,gauge1,gauge2,std1,std2,,,,
0,-0.013855968,-0.009022514,0.004513948,0.065646888,,,,
0.041364,0.305830306,0.285677894,0.003807095,0.078037607,,,,
0.082728,0.614534597,0.563978419,0.003783137,0.094130517,,,,
0.124092,0.920525469,0.852910378,0.003827351,0.104700524,,,,
0.165456,1.218920875,1.139087832,0.00400705,0.114557496,,,,
0.20682,1.519810004,1.434670886,0.004022415,0.134155089,,,,
0.248184,1.826173756,1.71916103,0.012785409,0.162859243,,,,
0.289548,2.138510899,2.002001962,0.004540702,0.1730775,,,,
0.330912,2.444183869,2.294097972,0.004500156,0.189014276,,,,
0.372276,2.744232312,2.561088948,0.004754731,0.195586871,,,,
0.41364,3.026965808,2.822639595,0.004253785,0.203872419,,,,
